"BehaviorSpace results (NetLogo 5.2.1)"
"irrigame_comm.nlogo"
"CoV - condcoop-F-baseline"
"05/31/2017 11:10:29:055 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-1","1","-1","1"
"[run number]","umin","sharerandom","mu","shareselfish","scenario","lambda","stdev-random","psat","visioneffect","gammawatercol","phase2?","mean-expC","Variability","comlimscore","alpha","limcom","beta","lambda-inv","lambda-ext","[step]","infrastructure","gini-ext"
"2","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","0","100","0"
"2","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","1","75","0.2129032258064516"
"2","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","2","71","0.09230769230769231"
"2","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","3","66","0.24347826086956523"
"2","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","4","65","0.26046511627906976"
"2","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","5","69","0.2129032258064516"
"2","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","6","69","0.29818181818181816"
"2","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","7","63","0.10909090909090909"
"2","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","8","68","0.3058823529411765"
"2","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","9","67","0.2413793103448276"
"2","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","10","69","0.26440677966101694"
"5","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","0","100","0"
"5","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","1","75","0.2125"
"1","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","0","100","0"
"5","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","2","67","0.23157894736842105"
"3","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","0","100","0"
"5","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","3","66","0.1"
"5","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","4","65","0.1411764705882353"
"4","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","0","100","0"
"3","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","1","75","0.33962264150943394"
"5","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","5","69","0.16716417910447762"
"3","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","2","66","0.18305084745762712"
"5","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","6","68","0.275"
"3","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","3","66","0.26046511627906976"
"4","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","1","75","0.23157894736842105"
"3","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","4","66","0.28771929824561404"
"4","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","2","72","0.275"
"5","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","7","68","0.2"
"3","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","5","65","0.34"
"4","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","3","67","0.17959183673469387"
"3","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","6","63","0.4"
"5","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","8","68","0.34"
"4","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","4","68","0.375"
"3","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","7","64","0.225"
"5","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","9","67","0.2"
"4","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","5","70","0.09230769230769231"
"1","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","1","76","0.2413793103448276"
"3","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","8","71","0.22857142857142856"
"5","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","10","67","0.26440677966101694"
"6","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","0","100","0"
"3","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","9","62","0.17959183673469387"
"4","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","6","70","0.1"
"3","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","10","67","0.375"
"7","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","0","100","0"
"4","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","7","70","0.23157894736842105"
"7","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","1","75","0.3058823529411765"
"4","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","8","71","0.2785714285714286"
"7","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","2","70","0.23157894736842105"
"6","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","1","76","0.2125"
"4","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","9","66","0.23157894736842105"
"7","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","3","69","0.2375"
"6","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","2","63","0.2827586206896552"
"7","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","4","64","0.26046511627906976"
"6","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","3","62","0.24347826086956523"
"7","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","5","69","0.23157894736842105"
"6","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","4","61","0.464"
"7","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","6","68","0.2490566037735849"
"6","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","5","59","0.52"
"4","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","10","64","0.10909090909090909"
"6","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","6","63","0.4"
"7","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","7","69","0.27755102040816326"
"8","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","0","100","0"
"6","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","7","62","0.225"
"7","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","8","70","0.43333333333333335"
"8","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","1","75","0.2413793103448276"
"6","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","8","67","0.23157894736842105"
"7","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","9","65","0.4666666666666667"
"8","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","2","72","0.28888888888888886"
"8","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","3","64","0.3346938775510204"
"6","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","9","68","0.07272727272727272"
"7","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","10","71","0.05714285714285714"
"9","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","0","100","0"
"8","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","4","63","0.275"
"6","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","10","69","0.10909090909090909"
