"BehaviorSpace results (NetLogo 5.2.1)"
"irrigame_comm.nlogo"
"CoV - socval-F-baseline"
"06/07/2017 11:37:36:566 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-1","1","-1","1"
"[run number]","umin","sharerandom","mu","shareselfish","scenario","lambda","stdev-random","psat","visioneffect","gammawatercol","phase2?","mean-expC","Variability","comlimscore","alpha","limcom","beta","lambda-inv","lambda-ext","[step]","infrastructure","gini-ext"
"2","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","0","100","0"
"3","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","0","100","0"
"4","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","0","100","0"
"1","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","0","100","0"
"2","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","1","100","0.05714285714285714"
"3","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","1","90","0.4"
"1","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","1","90","0.4"
"3","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","2","79","0.4"
"3","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","3","71","0.4"
"3","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","4","72","0.4"
"4","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","1","95","0.2"
"2","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","2","100","0.05714285714285714"
"3","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","5","77","0.05714285714285714"
"1","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","2","71","0.4"
"3","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","6","82","0.05714285714285714"
"3","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","7","87","0.05714285714285714"
"3","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","8","92","0.05714285714285714"
"4","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","2","90","0.2"
"3","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","9","97","0.05714285714285714"
"3","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","10","100","0.05714285714285714"
"5","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","0","100","0"
"5","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","1","90","0.4"
"1","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","3","52","0.7157894736842105"
"5","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","2","76","0.4"
"2","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","3","100","0.05714285714285714"
"5","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","3","62","0.4"
"2","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","4","100","0.05714285714285714"
"5","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","4","48","0.8"
"2","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","5","100","0.05714285714285714"
"5","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","5","33","0"
"2","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","6","100","0.05714285714285714"
"5","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","6","25","0"
"2","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","7","100","0.05714285714285714"
"5","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","7","29","0"
"2","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","8","100","0.05714285714285714"
"5","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","8","15","0"
"2","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","9","100","0.05714285714285714"
"5","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","9","11","0"
"1","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","4","37","0"
"4","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","3","85","0.2"
"5","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","10","14","0"
"6","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","0","100","0"
"2","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","10","100","0.05714285714285714"
"7","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","0","100","0"
"6","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","1","90","0.4"
"7","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","1","95","0.2"
"7","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","2","90","0.2"
"6","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","2","74","0.4"
"7","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","3","85","0.2"
"6","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","3","58","0.5806451612903226"
"7","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","4","80","0.2"
"6","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","4","57","0.7333333333333333"
"7","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","5","75","0.2"
"7","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","6","70","0.2"
"7","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","7","65","0.2"
"1","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","5","36","0"
"6","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","5","68","0.05714285714285714"
"6","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","6","79","0.05714285714285714"
"7","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","8","60","0.4"
"6","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","7","90","0.05714285714285714"
"6","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","8","100","0.05714285714285714"
"7","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","9","50","0.8"
"6","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","9","100","0.05714285714285714"
"7","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","10","43","0"
"6","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","10","100","0.05714285714285714"
"8","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","0","100","0"
"9","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","0","100","0"
"4","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","4","80","0.2"
"4","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","5","75","0.2"
"8","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","1","95","0.2"
"4","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","6","70","0.2"
"9","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","1","100","0.05714285714285714"
"8","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","2","90","0.2"
"4","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","7","65","0.2"
